ChEMBL_ID,pKi,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8
CHEMBL549,4.78,-1.2902342629903851,0.7197236573881723,-0.8875612274893417,0.11087225570706125,1.0048081541064056,-1.1309076224447363,-0.7667433748807848,-0.0366740116836537
CHEMBL607,4.75,-4.2796745298819125,0.9636223364362476,0.7742881721940635,-0.7824045216196005,0.26057662102362883,-0.9150572524004428,-0.7894901294956194,0.6798215922365537
CHEMBL904,7.13,-4.659767003332521,1.6398967218180531,0.5197326095759062,0.16402735158551368,-0.13428890616948921,0.31406725356491916,-0.6400912276907054,0.7345273596607671
CHEMBL1708,7.01,-0.967216447834706,1.6634842408394188,1.5434564418437076,0.024105560507111833,-0.4523052502701041,1.0184858304015187,-1.162847342726494,-0.1004085254853765
CHEMBL11493,7.98,0.6626056264625739,-2.2330228643648713,0.5685457698205,-0.863951332424689,0.5651081649375157,0.6240375610214579,0.0005991293326868399,0.39531397434667437
CHEMBL21859,7.67,0.9968402598166617,0.953027746539283,2.3022773981993776,-1.1894088069152615,0.4556314172291592,0.5466078379163191,-0.862711659082205,-0.04312307073080542
CHEMBL22183,5.38,-3.3051329130172995,0.9072874862033736,-2.380304943756538,1.229379848850782,0.4755331328966849,-0.8455463088715224,-0.1684687139827005,0.1117026780241021
CHEMBL22216,6.77,-2.8225748962796504,1.1112752865412892,-2.434155458755868,0.9041474091008316,0.6301719186959769,-0.7153128690861346,0.5298671098365971,-0.2975092092039274
CHEMBL22743,6.47,-2.984990767118513,1.15576348006668,-2.1017087970458976,-0.41538357787308094,0.4048255160091119,0.30772552647129275,-0.7630906081787125,0.3523905905443979
CHEMBL23033,6.77,-3.2479805699692674,1.8308413430495118,-2.664456806091001,1.8713743877524238,0.25995676852508126,0.5135547826303102,0.6261216547887575,-0.18596652239306155
CHEMBL27336,8.66,-4.0287038239967625,-2.9011455996545457,0.913397084794312,0.014226209347960598,0.47204840877253745,-0.302557980571671,0.5057791136230043,-0.01958900912122307
CHEMBL27748,7.66,5.013724701961798,1.4915500265174537,1.007205819378046,-0.49092725167119466,0.1337508325414201,-0.35129343615083986,-0.6565523193591238,0.32098891238265315
CHEMBL28394,9.38,-3.5449698206944147,-2.7335487871700144,0.873452747184344,-0.22659036982834097,0.6114932986478514,-0.19343674612090425,0.963992699433203,-0.30622303468635187
CHEMBL28414,7.28,4.534700627421689,-0.16878000494412895,0.24874109491519036,-0.27971396946314087,0.2930484845359342,-0.33661038128831344,-0.37092174120656546,0.37698112648838034
CHEMBL28726,7.06,2.3571310727273644,0.46179892797047106,1.471811759638079,-0.22837606949178307,1.1724243811638195,-0.09891393347772567,-0.026232190085933534,0.8840698844321359
CHEMBL28867,7.24,4.0300049860000815,0.214058750438644,0.491978241247791,-0.09247527043640309,0.39199923350567073,-0.2951243719637593,-0.6395838675140785,0.10811998067681104
CHEMBL28897,8.19,3.5509809114599733,-1.446271281022938,-0.2664864832150645,0.11873801177165066,0.5512968855001851,-0.28044131710123305,-0.3539532893615198,0.16411219478253858
CHEMBL28935,7.31,2.69953392338717,0.36095276619743194,1.4056907829069742,-0.287918515220584,1.0619897826425773,-0.10400905986704154,0.1365302967676687,0.8341245980693902
CHEMBL29000,7.08,2.0147282220675584,0.56264508974351,1.537932736369184,-0.16883362376298233,1.2828589796850616,-0.09381880708840948,-0.1889946769395354,0.9340151707948813
CHEMBL34032,8.0,1.7940058664474992,-1.865975932327009,-1.396384523336873,-1.1481937945037617,-0.029727027399755555,0.17171281067853728,-0.55653439793926,0.059518323415730566
CHEMBL34372,7.2,2.777725582409216,-0.5884846562481998,-0.8811569452066185,-1.5466457757385532,-0.2879754283640069,0.11554374649145657,-0.5735028497843045,0.2723872551215727
CHEMBL34591,8.92,2.3570298228022666,-1.7598679552544472,-1.4731417466710195,-1.4233041189790494,0.0710624367191656,0.2812431518174306,-0.00770822304929147,-0.3102419228468626
CHEMBL35045,8.1,2.7777255824092166,-0.5884846562481998,-0.8811569452066185,-1.5466457757385532,-0.28797542836400714,0.11554374649145657,-0.5735028497843042,0.2723872551215727
CHEMBL35122,8.96,3.7231254472950828,-1.5891028445915099,-1.6057936015670295,-2.309286922005196,2.205036557746105,1.8266368969120201,-0.6347993220982591,-0.6918403575906047
