ChEMBL_ID,pKi,MolWt,LogP,TPSA,HBD,HBA,RotatableBonds,AromaticRings,HeavyAtoms,NumRings,NumSaturatedRings,NumAliphaticRings,MolMR,NumCarbons,NumNitrogens,NumOxygens,NumFluorines,NumHalogens
CHEMBL216990,7.63,434.36300000000017,5.123700000000006,38.77,0,4,5,2,29,4,2,2,114.31600000000005,23,1,3,0,6
CHEMBL217018,7.66,448.3900000000002,5.513800000000006,38.77,0,4,6,2,30,4,2,2,118.93300000000005,24,1,3,0,6
CHEMBL217160,7.56,534.647,6.0704000000000065,64.79,1,5,10,3,39,5,2,2,146.94739999999985,32,2,3,2,7
CHEMBL217295,8.47,373.4430000000001,3.914400000000003,32.7,1,3,5,2,27,4,2,2,99.28180000000005,22,1,2,2,5
CHEMBL217456,8.09,457.5610000000001,5.655500000000006,38.77,0,4,9,2,33,4,2,2,122.68000000000006,27,1,3,2,6
CHEMBL217627,7.89,350.46200000000016,3.675100000000003,55.56,1,4,3,2,26,4,2,2,103.72740000000005,22,2,2,0,4
CHEMBL218082,9.38,338.24500000000006,3.1884000000000015,29.54,0,3,2,1,20,3,2,2,81.57900000000005,16,1,2,0,4
CHEMBL245637,6.14,439.2930000000001,3.546100000000002,39.72,1,4,6,2,24,3,1,1,102.29270000000004,19,1,3,0,5
CHEMBL245638,6.73,415.29600000000016,3.7696200000000024,30.49,1,4,4,2,21,3,1,1,94.19370000000005,16,1,2,0,5
CHEMBL245639,6.68,431.29500000000013,3.469800000000002,39.72,1,5,5,2,22,3,1,1,96.00870000000003,16,1,3,0,6
CHEMBL245913,5.6,294.757,3.9152000000000022,38.49,1,3,4,2,20,2,0,0,79.72940000000003,15,2,1,1,5
CHEMBL245915,5.44,290.40700000000004,3.929120000000003,29.259999999999998,1,3,4,2,20,2,0,0,83.50540000000002,16,2,0,1,4
CHEMBL246118,5.74,310.82500000000005,4.2741000000000025,29.259999999999998,1,3,4,2,20,2,0,0,83.77840000000003,15,2,0,1,5
CHEMBL246119,4.17,285.322,3.1334800000000005,62.28,1,4,4,2,21,2,0,0,79.43440000000004,16,3,1,1,5
CHEMBL246120,4.85,301.39000000000004,3.4923800000000016,53.05,1,4,4,2,21,2,0,0,83.48340000000005,16,3,0,1,5
CHEMBL246388,5.55,274.339,3.5702200000000017,38.49,1,3,4,2,20,2,0,0,79.45640000000003,16,2,1,1,4
CHEMBL247284,7.85,454.2640000000001,3.445700000000002,73.63000000000001,1,5,6,2,25,3,1,1,102.39510000000003,18,2,4,0,7
CHEMBL251242,7.38,408.92000000000013,4.317300000000004,15.71,0,3,9,2,28,3,1,1,108.81200000000004,22,2,1,2,6
CHEMBL252758,7.47,360.44800000000015,3.708300000000002,15.71,0,3,7,2,26,3,1,1,99.14900000000006,21,2,1,2,5
CHEMBL252759,8.03,476.61100000000016,5.887400000000006,24.5,1,3,8,3,35,5,1,2,135.14969999999997,30,2,1,2,5
CHEMBL254843,7.0,480.64300000000026,5.904800000000007,15.71,0,3,8,2,35,7,5,5,134.07999999999998,30,2,1,2,5
CHEMBL255054,7.75,492.6100000000001,4.984400000000005,35.94,1,4,8,3,36,5,1,2,136.68779999999992,30,2,2,2,6
CHEMBL255055,7.19,372.4590000000002,3.874400000000003,15.71,0,3,8,2,27,3,1,1,103.67200000000005,22,2,1,2,5
CHEMBL255065,8.89,461.5960000000001,6.9766000000000075,12.47,0,2,9,3,34,5,2,2,131.666,30,1,1,2,4
CHEMBL258511,7.54,400.56600000000014,4.1323000000000025,44.29,3,3,8,3,30,4,1,1,123.69520000000004,27,2,1,0,3
